Country Code,2-alpha code,Alternative conversion factor,Balance of Payments Manual in use,Currency Unit,External debt Reporting status,Government Accounting concept,IMF data dissemination standard,Latest agricultural census,Latest household survey,Latest industrial data,Latest population census,Latest trade data,Latest water withdrawal data,Long Name,National accounts base year,National accounts reference year,PPP survey year,Short Name,SNA price valuation,Source of most recent Income and expenditure data,Special Notes,System of National Accounts,System of trade,Table Name,Vital registration complete,WB-2 code,Income Group,Lending category,Other groups,Region
MAR,MA,,"IMF Balance of Payments Manual, 5th edition (1993).",Moroccan dirham,Actual,Consolidated central government,Special Data Dissemination Standard (SDDS),2012,"Multiple Indicator Cluster Survey (MICS), 2006",2010,2004,2010,2000,Kingdom of Morocco,1998,,2005,Morocco,Value added at basic prices (VAB),"Expenditure survey/budget survey (ES/BS), 2007",,,Special trade system,Morocco,,MA,Lower middle income,IBRD,,Middle East & North Africa
MCO,MC,,,Euro,,,,,,,2008,,,Principality of Monaco,1990,,,Monaco,,,,,Special trade system,Monaco,Yes,MC,High income: nonOECD,,,Europe & Central Asia
MDA,MD,1990-95,"IMF Balance of Payments Manual, 5th edition (1993).",Moldovan leu,Actual,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,"Demographic and Health Survey (DHS), 2005",2010,2004,2010,2000,Republic of Moldova,Original chained constant price data are rescaled.,1996,2005,Moldova,Value added at basic prices (VAB),"Expenditure survey/budget survey (ES/BS), 2010",,Country uses the 1993 System of National Accounts methodology.,General trade system,Moldova,Yes,MD,Lower middle income,IDA,,Europe & Central Asia
MDG,MG,,"IMF Balance of Payments Manual, 5th edition (1993).",Malagasy ariary,Actual,Consolidated central government,General Data Dissemination System (GDDS),2004,"Demographic and Health Survey (DHS), 2008/09",2009,1993,2010,2000,Republic of Madagascar,1984,,2005,Madagascar,Value added at basic prices (VAB),"Priority survey (PS), 2010",,,Special trade system,Madagascar,,MG,Low income,IDA,HIPC,Sub-Saharan Africa
MDV,MV,,"IMF Balance of Payments Manual, 5th edition (1993).",Maldivian rufiyaa,Actual,Consolidated central government,General Data Dissemination System (GDDS),,"Demographic and Health Survey (DHS), 2009",2010,2011,2010,2008,Republic of Maldives,2003,,2005,Maldives,Value added at basic prices (VAB),"Integrated household survey (IHS), 2004",The Department of National Planning has revised national accounts data for 2000 onward; the new base year is 2003.,,General trade system,Maldives,Yes,MV,Upper middle income,IDA,,South Asia
MEA,,,,,,,,,,,,,,Middle East & North Africa (all income levels),,,,Middle East & North Africa (all income levels),,,Middle East and North Africa regional aggregate (including high-income economies).,,,Middle East & North Africa (all income levels),,ZQ,,,,
MEX,MX,,"IMF Balance of Payments Manual, 5th edition (1993).",Mexican peso,Actual,Consolidated central government,Special Data Dissemination Standard (SDDS),2007,"National Family Planning Survey (Encuesta Nacional de Planificacion Familiar - ENPF), 1995",2010,2010,2010,2008,United Mexican States,2003,,2005,Mexico,Value added at basic prices (VAB),"Labor force survey (LFS), 2010",,Country uses the 1993 System of National Accounts methodology.,General trade system,Mexico,,MX,Upper middle income,IBRD,,Latin America & Caribbean
MHL,MH,,,U.S. dollar,,,,,,,2011,,,Republic of the Marshall Islands,2004,,,Marshall Islands,Value added at basic prices (VAB),,,,General trade system,Marshall Islands,,MH,Lower middle income,IDA,,East Asia & Pacific
MIC,,,,,,,,,,,,,,Middle income,,,,Middle income,,,"Middle income group aggregate. Middle-income economies are those in which 2010 GNI per capita was between $1,006 and $12,275.",,,Middle income,,XP,,,,
MKD,MK, ,"IMF Balance of Payments Manual, 5th edition (1993).",Macedonian denar,Actual,,Special Data Dissemination Standard (SDDS),2007,"Multiple Indicator Cluster Survey (MICS), 2005",2010,2010,2009,2007,Former Yugoslav Republic of Macedonia,1997,1995,2005,Macedonia,Value added at basic prices (VAB),"Expenditure survey/budget survey (ES/BS), 2009","Based on official statistics, national accounts data have been revised for 2003 onward.",Country uses the 1993 System of National Accounts methodology.,Special trade system,"Macedonia, FYR",Yes,MK,Upper middle income,IBRD,,Europe & Central Asia
MLI,ML,,"IMF Balance of Payments Manual, 5th edition (1993).",CFA franc,Actual,Budgetary central government,General Data Dissemination System (GDDS),,"Demographic and Health Survey (DHS), 2006; Special, 2010",2007,2009,2010,2000,Republic of Mali,1987,,2005,Mali,Value added at basic prices (VAB),"Integrated household survey (IHS), 2010",,,Special trade system,Mali,,ML,Low income,IDA,HIPC,Sub-Saharan Africa
MLT,MT,,"IMF Balance of Payments Manual, 5th edition (1993).",Euro,,Consolidated central government,Special Data Dissemination Standard (SDDS),2010,,2009,2005,2010,2002,Republic of Malta,2005,,2005,Malta,Value added at basic prices (VAB),,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2008: 1 euro = 0.4293 Maltese lira. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",,General trade system,Malta,Yes,MT,High income: nonOECD,,Euro area,Middle East & North Africa
MMR,MM, ,"IMF Balance of Payments Manual, 5th edition (1993).",Myanmar kyat,Estimate,Consolidated central government,,2010-2011,"Multiple Indicator Cluster Survey (MICS), 2000",2010,1983,2001,2000,Union of Myanmar,2005/06,,,Myanmar,Value added at producer prices (VAP),,Fiscal year end: March 31; reporting period for national accounts data: FY.,,General trade system,Myanmar,,MM,Low income,IDA,,East Asia & Pacific
MNA,,,,,,,,,,,,,,Middle East & North Africa (developing only),,,,Middle East & North Africa (developing only),,,Middle East and North Africa regional aggregate (does not include high-income economies).,,,Middle East & North Africa,,XQ,,,,
MNE,ME,,"IMF Balance of Payments Manual, 5th edition (1993).",Euro,Actual,,General Data Dissemination System (GDDS),2010,"Multiple Indicator Cluster Survey (MICS), 2005/06",2010,2011,,,Montenegro,2000,,2005,Montenegro,Value added at basic prices (VAB),"Expenditure survey/budget survey (ES/BS), 2008","Montenegro declared independence from Serbia and Montenegro on June 3, 2006. Where available, data for each country are shown separately. However, for Serbia, some indicators continue to include data for Montenegro through 2005.",Country uses the 1993 System of National Accounts methodology.,Special trade system,Montenegro,Yes,ME,Upper middle income,IBRD,,Europe & Central Asia
MNG,MN,,"IMF Balance of Payments Manual, 5th edition (1993).",Mongolian tugrik,Actual,Consolidated central government,General Data Dissemination System (GDDS),2011,"Multiple Indicator Cluster Survey (MICS), 2010",2010,2010,2007,2005,Mongolia,2005,,2005,Mongolia,Value added at basic prices (VAB),"Living Standards Measurement Study (LSMS), 2007/08",,Country uses the 1993 System of National Accounts methodology.,General trade system,Mongolia,Yes,MN,Lower middle income,IDA,,East Asia & Pacific
MNP,MP,,,U.S. dollar,,,,,,,2010,,,Commonwealth of the Northern Mariana Islands,,,,Northern Mariana Islands,,,,,,Northern Mariana Islands,,MP,High income: nonOECD,,,East Asia & Pacific
MOZ,MZ,1992-95,"IMF Balance of Payments Manual, 5th edition (1993).",New Mozambican metical,Actual,,General Data Dissemination System (GDDS),2009-2010,"Demographic and Health Survey (DHS), 2003; HIV/AIDS Indicator Survey (AIS), 2009",2010,2007,2010,2000,Republic of Mozambique,2003,,2005,Mozambique,Value added at basic prices (VAB),"Expenditure survey/budget survey (ES/BS), 2008",,,Special trade system,Mozambique,,MZ,Low income,IDA,HIPC,Sub-Saharan Africa
MRT,MR,,"IMF Balance of Payments Manual, 4th edition (1977).",Mauritanian ouguiya,Actual,,General Data Dissemination System (GDDS),,"Multiple Indicator Cluster Survey (MICS), 2007",2010,2000,2010,2000,Islamic Republic of Mauritania,2004,,2005,Mauritania,Value added at basic prices (VAB),"Integrated household survey (IHS), 2008","Based on official government statistics, data have been revised for 1991 onward; the new base year for constant price series is 2004.",,Special trade system,Mauritania,,MR,Lower middle income,IDA,HIPC,Sub-Saharan Africa
MUS,MU,,"IMF Balance of Payments Manual, 5th edition (1993).",Mauritian rupee,Actual,Consolidated central government,General Data Dissemination System (GDDS),,,2010,2011,2010,2003,Republic of Mauritius,2006,,2005,Mauritius,Value added at basic prices (VAB),,"In 2010, national accounts were revised to reflect fiscal year data rather than calendar year data.",,General trade system,Mauritius,Yes,MU,Upper middle income,IBRD,,Sub-Saharan Africa
MWI,MW,,"IMF Balance of Payments Manual, 5th edition (1993).",Malawi kwacha,Actual,,General Data Dissemination System (GDDS),2006-2007,"Demographic and Health Survey (DHS), 2010",2010,2008,2010,2000,Republic of Malawi,1994,,2005,Malawi,Value added at basic prices (VAB),"Living Standards Measurement Study (LSMS), 2004/05",Fiscal year end: March 31; reporting period for national accounts data: CY.,,General trade system,Malawi,,MW,Low income,IDA,HIPC,Sub-Saharan Africa
MYS,MY,,"IMF Balance of Payments Manual, 5th edition (1993).",Malaysian ringgit,Estimate,Budgetary central government,Special Data Dissemination Standard (SDDS),2012,,2010,2010,2010,2005,Malaysia,2000,,2005,Malaysia,Value added at producer prices (VAP),"Expenditure survey/budget survey (ES/BS), 2009",,,General trade system,Malaysia,Yes,MY,Upper middle income,IBRD,,East Asia & Pacific
MYT,YT,,,Euro,,,,,,,2007,2009,,Mayotte,,,,Mayotte,,,,,General trade system,Mayotte,Yes,YT,Upper middle income,,,Sub-Saharan Africa
NAC,,,,,,,,,,,,,,North America,,,,North America,,,North America regional aggregate. There are no economies in North America classified as low or middle income.,,,North America,,XU,,,,
NAM,NA,,"IMF Balance of Payments Manual, 5th edition (1993).",Namibian dollar, ,Budgetary central government,General Data Dissemination System (GDDS),1996-97,"Demographic and Health Survey (DHS), 2006/07; HIV/MCH Service Provision Assessment (SPA), 2009",2010,2001,2008,2000,Republic of Namibia,2004/05,,2005,Namibia,Value added at basic prices (VAB),"Expenditure survey/budget survey (ES/BS), 2004","Fiscal year end: March 31; reporting period for national accounts data: CY. In 2010, the Central Bureau of Statistics revised national accounts data for 2000-07. An expanded data survey resulted in a substantial upward adjustment to estimates of output, particularly in mining, services, and manufacturing. The constant price series were rebased from 1995 to 2004 prices. GDP in current prices averaged 14 percent higher than previous estimates.",Country uses the 1993 System of National Accounts methodology.,General trade system,Namibia,,NA,Upper middle income,IBRD,,Sub-Saharan Africa
NCL,NC,,,CFP franc,,,,,,1997,2009,2010,,New Caledonia,1990,,,New Caledonia,,,,,Special trade system,New Caledonia,Yes,NC,High income: nonOECD,,,East Asia & Pacific
NER,NE,1993,"IMF Balance of Payments Manual, 5th edition (1993).",CFA franc,Actual,Budgetary central government,General Data Dissemination System (GDDS), 2005-2007,"Demographic and Health Survey (DHS), 2006",2003,2001,2010,2000,Republic of Niger,1987,,2005,Niger,Value added at producer prices (VAP),"Core Welfare Indicator Questionnaire Survey (CWIQ)/Priority survey (PS), 2008",,,Special trade system,Niger,,NE,Low income,IDA,HIPC,Sub-Saharan Africa
NGA,NG,1971-98,"IMF Balance of Payments Manual, 5th edition (1993).",Nigerian naira,Actual,Budgetary central government,General Data Dissemination System (GDDS),2007,"Demographic and Health Survey (DHS), 2008",2006,2006,2010,2000,Federal Republic of Nigeria,2002,,2005,Nigeria,Value added at basic prices (VAB),"Integrated household survey (IHS), 2010",,,General trade system,Nigeria,,NG,Lower middle income,IDA,,Sub-Saharan Africa
NIC,NI,1965-95,"IMF Balance of Payments Manual, 5th edition (1993).",Nicaraguan gold cordoba,Actual,Budgetary central government,General Data Dissemination System (GDDS),2011,"Reproductive Health Survey (RHS), 2006/07",2010,2005,2010,2000,Republic of Nicaragua,1994,,,Nicaragua,Value added at basic prices (VAB),"Living Standards Measurement Study (LSMS), 2005",,Country uses the 1993 System of National Accounts methodology.,General trade system,Nicaragua,,NI,Lower middle income,IDA,HIPC,Latin America & Caribbean
NLD,NL,,"IMF Balance of Payments Manual, 5th edition (1993).",Euro,,Consolidated central government,Special Data Dissemination Standard (SDDS),2010,,2010,2011,2010,2008,Kingdom of the Netherlands,Original chained constant price data are rescaled.,2005,2005,Netherlands,Value added at basic prices (VAB),"Integrated household survey (IHS), 1999","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 2.20371 Netherlands guilder. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Country uses the 1993 System of National Accounts methodology.,Special trade system,Netherlands,Yes,NL,High income: OECD,,Euro area,Europe & Central Asia
NOC,,,,,,,,,,,,,,High income: nonOECD,,,,High income: nonOECD,,,"High income nonOECD aggregate. High-income economies are those in which 2010 GNI per capita was $12,276 or more.",,,High income: nonOECD,,XR,,,,
NOR,NO,,"IMF Balance of Payments Manual, 5th edition (1993).",Norwegian krone,,Consolidated central government,Special Data Dissemination Standard (SDDS),2010,,2010,2001,2010,2006,Kingdom of Norway,Original chained constant price data are rescaled.,2005,2005,Norway,Value added at basic prices (VAB),"Income survey (IS), 2000",,Country uses the 1993 System of National Accounts methodology.,General trade system,Norway,Yes,NO,High income: OECD,,,Europe & Central Asia
NPL,NP,,"IMF Balance of Payments Manual, 5th edition (1993).",Nepalese rupee,Actual,Consolidated central government,General Data Dissemination System (GDDS),2011-2012,"Multiple Indicator Cluster Survey (MICS), 2010",2010,2001,2010,2005,Nepal,2000/01,,2005,Nepal,Value added at basic prices (VAB),"Living Standards Measurement Study (LSMS), 2010",Fiscal year end: July 14; reporting period for national accounts data: FY.,,General trade system,Nepal,,NP,Low income,IDA,,South Asia
NZL,NZ,,"IMF Balance of Payments Manual, 5th edition (1993).",New Zealand dollar,,Consolidated central government,,2012,,2006,2006,2010,2002,New Zealand,2005/06,,2005,New Zealand,Value added at basic prices (VAB),"Income survey (IS), 1997",Fiscal year end: March 31; reporting period for national accounts data: FY.,,General trade system,New Zealand,Yes,NZ,High income: OECD,,,East Asia & Pacific
OEC,,,,,,,,,,,,,,High income: OECD,,,,High income: OECD,,,"High income OECD members aggregate. High-income economies are those in which 2010 GNI per capita was $12,276 or more.",,,High income: OECD,,XS,,,,
OED,,,,,,,,,,,,,,OECD members,,,,OECD members,,,"OECD members aggregate (all, including developing countries).",,,OECD members,,OE,,,,
OMN,OM,,"IMF Balance of Payments Manual, 5th edition (1993).",Rial Omani,,Budgetary central government,General Data Dissemination System (GDDS),1978-79,"Family Health Survey (FHS), 1995",2004,2010,2010,2003,Sultanate of Oman,1988,,2005,Oman,Value added at producer prices (VAP),,,,General trade system,Oman, ,OM,High income: nonOECD,,,Middle East & North Africa
OSS,,,,,,,,,,,,,,Other small states,,,,Other small states,,,"Other small states aggregate. Includes Bhutan, Botswana, Cape Verde, Comoros, Djibouti, Equatorial Guinea, Gabon, The Gambia, Guinea-Bissau, Lesotho, Maldives, Mauritius, Montenegro, Namibia, Sao Tome and Principe, Seychelles, and Swaziland.",,,Other small states,,S4,,,,
PAK,PK,,"IMF Balance of Payments Manual, 5th edition (1993).",Pakistani rupee,Actual,Budgetary central government,General Data Dissemination System (GDDS),2000,"Multiple Indicator Cluster Survey (MICS), 2010",2010,1998,2010,2008,Islamic Republic of Pakistan,1999/2000,,2005,Pakistan,Value added at basic prices (VAB),"Integrated household survey (IHS), 2008",Fiscal year end: June 30; reporting period for national accounts data: FY.,Country uses the 1993 System of National Accounts methodology.,General trade system,Pakistan,,PK,Lower middle income,Blend,,South Asia
PAN,PA,,"IMF Balance of Payments Manual, 5th edition (1993).",Panamanian balboa,Actual,Consolidated central government,General Data Dissemination System (GDDS),2011,"Living Standards Measurement Survey (LSMS), 2003",2010,2010,2010,2000,Republic of Panama,1996,,,Panama,Value added at basic prices (VAB),"Labor force survey (LFS), 2010",,Country uses the 1993 System of National Accounts methodology.,Special trade system,Panama,,PA,Upper middle income,IBRD,,Latin America & Caribbean
PER,PE,1985-90,"IMF Balance of Payments Manual, 5th edition (1993).",Peruvian new sol,Actual,Consolidated central government,Special Data Dissemination Standard (SDDS),2012,"Demographic and Health Survey (DHS), 2007/08",2010,2007,2010,2000,Republic of Peru,1994,,2005,Peru,Value added at basic prices (VAB),"Integrated household survey (IHS), 2010",,,Special trade system,Peru,,PE,Upper middle income,IBRD,,Latin America & Caribbean
PHL,PH,,"IMF Balance of Payments Manual, 5th edition (1993).",Philippine peso,Actual,Budgetary central government,Special Data Dissemination Standard (SDDS),2012,"Demographic and Health Survey (DHS), 2008",2010,2010,2010,2009,Republic of the Philippines,2000,,2005,Philippines,Value added at producer prices (VAP),"Expenditure survey/budget survey (ES/BS), 2009","National accounts data have been revised for 1998 onward. Because intellectual property products are now reported as a part of gross fixed capital formation, gross domestic product (GDP) in current prices averages 4 percent higher than previous estimates.",,General trade system,Philippines,Yes,PH,Lower middle income,IBRD,,East Asia & Pacific
PLW,PW,,,U.S. dollar,,,,,,2007,2010,,,Republic of Palau,1995,,,Palau,Value added at basic prices (VAB),,,,Special trade system,Palau,Yes,PW,Upper middle income,IBRD,,East Asia & Pacific
PNG,PG,1989,"IMF Balance of Payments Manual, 5th edition (1993).",Papua New Guinea kina,Actual,Budgetary central government,General Data Dissemination System (GDDS),,"Demographic and Health Survey (DHS), 1996",2010,2000,2005,2005,The Independent State of Papua New Guinea,1998,,,Papua New Guinea,Value added at basic prices (VAB),"Integrated household survey (IHS), 1996",,,General trade system,Papua New Guinea,,PG,Lower middle income,Blend,,East Asia & Pacific
POL,PL, ,"IMF Balance of Payments Manual, 5th edition (1993).",Polish zloty,,Consolidated central government,Special Data Dissemination Standard (SDDS),2010,,2010,2011,2010,2009,Republic of Poland,Original chained constant price data are rescaled.,2005,2005,Poland,Value added at basic prices (VAB),"Expenditure survey/budget survey (ES/BS), 2009",,Country uses the 1993 System of National Accounts methodology.,Special trade system,Poland,Yes,PL,High income: OECD,IBRD,,Europe & Central Asia
PRI,PR,,,U.S. dollar,,,,2007,"Reproductive Health Survey (RHS), 1995/96",2010,2010,,2005,Puerto Rico,1954,,,Puerto Rico,Value added at producer prices (VAP),,"Fiscal year end: June 30; reporting period for national accounts data: FY. Based on data from the Instituto de Estadísticas de Puerto Rico, national accounts data have been revised for 2001 onward.",,General trade system,Puerto Rico,Yes,PR,High income: nonOECD,,,Latin America & Caribbean
PRK,KP,,"IMF Balance of Payments Manual, 4th edition (1977).",Democratic People's Republic of Korean won,,,,,"Multiple Indicator Cluster Survey (MICS), 2010",,2009,,2005,Democratic People's Republic of Korea,,,,Dem. Rep. Korea,,,,,,"Korea, Dem. Rep.",,KP,Low income,,,East Asia & Pacific
PRT,PT,,"IMF Balance of Payments Manual, 5th edition (1993).",Euro,,Consolidated central government,Special Data Dissemination Standard (SDDS),2009,,2010,2011,2010,2002,Portuguese Republic,2005,,2005,Portugal,Value added at basic prices (VAB),"Income survey (IS), 1997","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 200.482 Portuguese escudo. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Country uses the 1993 System of National Accounts methodology.,Special trade system,Portugal,Yes,PT,High income: OECD,,Euro area,Europe & Central Asia
PRY,PY,,"IMF Balance of Payments Manual, 5th edition (1993).",Paraguayan guarani,Actual,Budgetary central government,General Data Dissemination System (GDDS),2008,"Reproductive Health Survey (RHS), 2004",2010,2002,2011,2000,Republic of Paraguay,1994,,2005,Paraguay,Value added at producer prices (VAP),"Integrated household survey (IHS), 2010",,,Special trade system,Paraguay,,PY,Lower middle income,IBRD,,Latin America & Caribbean
PSS,,,,,,,,,,,,,,Pacific island small states,,,,Pacific island small states,,,"Pacific island small states aggregate. Includes Fiji, Kiribati, Marshall Islands, Federated States of Micronesia, Palau, Samoa, Solomon Islands, Timor-Leste, Tonga, Tuvalu, and Vanuatu.",,,Pacific island small states,,S2,,,,
PYF,PF,,,CFP franc,,,,,,,2007,2010,,French Polynesia,1990,,,French Polynesia,,,,,Special trade system,French Polynesia,Yes,PF,High income: nonOECD,,,East Asia & Pacific
QAT,QA,,,Qatari riyal,,Budgetary central government,General Data Dissemination System (GDDS),2000-01,,,2010,2009,2005,State of Qatar,2001,,2005,Qatar,Value added at producer prices (VAP),,,,Special trade system,Qatar,Yes,QA,High income: nonOECD,,,Middle East & North Africa
ROM,RO,"1987-89, 1992","IMF Balance of Payments Manual, 5th edition (1993).",New Romanian leu,Actual,Consolidated central government,Special Data Dissemination Standard (SDDS),2010,"Reproductive Health Survey (RHS), 1999",2010,2011,2010,2009,Romania,Original chained constant price data are rescaled.,2005,2005,Romania,Value added at basic prices (VAB),"Labor force survey (LFS), 2009",,Country uses the 1993 System of National Accounts methodology.,Special trade system,Romania,Yes,RO,Upper middle income,IBRD,,Europe & Central Asia
RUS,RU,1987-95,"IMF Balance of Payments Manual, 5th edition (1993).",Russian ruble,Preliminary,Consolidated central government,Special Data Dissemination Standard (SDDS),2006,"Reproductive Health Survey (RHS), 1996",2010,2010,2010,2001,Russian Federation,2000,,2005,Russia,Value added at basic prices (VAB),"Integrated household survey (IHS), 2009",,Country uses the 1993 System of National Accounts methodology.,General trade system,Russian Federation,Yes,RU,Upper middle income,IBRD,,Europe & Central Asia
RWA,RW,1994,"IMF Balance of Payments Manual, 5th edition (1993).",Rwandan franc,Actual,Consolidated central government,General Data Dissemination System (GDDS),2008,"Demographic and Health Survey (DHS), 2007/08",2009,2002,2010,2000,Republic of Rwanda,1995,,2005,Rwanda,Value added at producer prices (VAP),"Integrated household survey (IHS), 2011",,,General trade system,Rwanda,,RW,Low income,IDA,HIPC,Sub-Saharan Africa
SAS,,,,,,,,,,,,,,South Asia,,,,South Asia,,,South Asia regional aggregate. There are no economies in South Asia classified as high income.,,,South Asia,,8S,,,,
SAU,SA,,"IMF Balance of Payments Manual, 5th edition (1993).",Saudi Arabian riyal, ,,General Data Dissemination System (GDDS),2010,"Demographic survey, 2007",2010,2010,2010,2006,Kingdom of Saudi Arabia,1999,,2005,Saudi Arabia,Value added at producer prices (VAP),,,,Special trade system,Saudi Arabia, ,SA,High income: nonOECD,,,Middle East & North Africa
SDN,SD,,"IMF Balance of Payments Manual, 5th edition (1993).",Sudanese pound,Actual,Budgetary central government,General Data Dissemination System (GDDS),,"Multiple Indicator Cluster Survey (MICS), 2010",2010,2008,2009,2000. Includes South Sudan.,Republic of the Sudan,1981/82. Reporting period switch from fiscal year to calendar year from 1996. Pre-1996 data converted to calendar year.,1996,2005,Sudan,Value added at basic prices (VAB),"Expenditure survey/budget survey (ES/BS), 2009",Data reported for Sudan include South Sudan unless otherwise noted.,,General trade system,Sudan,,SD,Lower middle income,IDA,HIPC,Sub-Saharan Africa
SEN,SN,,"IMF Balance of Payments Manual, 5th edition (1993).",CFA franc,Actual,Budgetary central government,General Data Dissemination System (GDDS),2011-2012,"Demographic and Health Survey (DHS), 2005; Malaria Indicator Survey (MIS), 2008/09",2010,2002,2011,2002,Republic of Senegal,1999,1987,2005,Senegal,Value added at basic prices (VAB),"Priority survey (PS), 2005",,Country uses the 1993 System of National Accounts methodology.,General trade system,Senegal,,SN,Lower middle income,IDA,HIPC,Sub-Saharan Africa
SGP,SG,,"IMF Balance of Payments Manual, 5th edition (1993).",Singapore dollar,,Consolidated central government,Special Data Dissemination Standard (SDDS),,"General  household, 2005",2010,2010,2010,,Republic of Singapore,2005,,2005,Singapore,Value added at basic prices (VAB),,Fiscal year end: March 31; reporting period for national accounts data: CY. National accounts time series have been replaced with official government statistics.,Country uses the 1993 System of National Accounts methodology.,General trade system,Singapore,Yes,SG,High income: nonOECD,,,East Asia & Pacific
SLB,SB,,"IMF Balance of Payments Manual, 5th edition (1993).",Solomon Islands dollar,Actual,,General Data Dissemination System (GDDS),2012,,2009,2009,2007,,Solomon Islands,2004,,,Solomon Islands,Value added at basic prices (VAB),,,,Special trade system,Solomon Islands,,SB,Lower middle income,IDA,,East Asia & Pacific
SLE,SL,,"IMF Balance of Payments Manual, 5th edition (1993).",Sierra Leonean leone,Actual,Budgetary central government,General Data Dissemination System (GDDS),1984-85,"Demographic and Health Survey (DHS), 2008",2003,2004,2002,2000,Republic of Sierra Leone,1990,,2005,Sierra Leone,Value added at basic prices (VAB),"Integrated household survey (IHS), 2003",Fiscal year end: June 30; reporting period for national accounts data: CY.,Country uses the 1993 System of National Accounts methodology.,Special trade system,Sierra Leone,,SL,Low income,IDA,HIPC,Sub-Saharan Africa
SLV,SV,,"IMF Balance of Payments Manual, 5th edition (1993).",U.S. dollar,Actual,Consolidated central government,Special Data Dissemination Standard (SDDS),2007-2008,"Reproductive Health Survey (RHS), 2008",2010,2007,2010,2000,Republic of El Salvador,1990,,,El Salvador,Value added at basic prices (VAB),"Integrated household survey (IHS), 2009",,,Special trade system,El Salvador,Yes,SV,Lower middle income,IBRD,,Latin America & Caribbean
SMR,SM,,,Euro,,Consolidated central government,General Data Dissemination System (GDDS),,,,2010,,,Republic of San Marino,1990,,,San Marino,Value added at basic prices (VAB),,,Country uses the 1993 System of National Accounts methodology.,,San Marino,Yes,SM,High income: nonOECD,,,Europe & Central Asia
SOM,SO,1977-90,,Somali shilling,Estimate,,,,"Multiple Indicator Cluster Survey (MICS), 2006",1990,1987,1982,2003,Somali Democratic Republic,1985,,,Somalia,Value added at basic prices (VAB),,,,,Somalia,,SO,Low income,IDA,HIPC,Sub-Saharan Africa
SRB,RS,,"IMF Balance of Payments Manual, 5th edition (1993).",New Serbian dinar,Actual,Consolidated central government,General Data Dissemination System (GDDS),2012,"Multiple Indicator Cluster Survey (MICS), 2005/06",2010,2011,2008,2009,Republic of Serbia,Original chained constant price data are rescaled.,2002,2005,Serbia,Value added at basic prices (VAB),"Integrated household survey (IHS), 2009","Montenegro declared independence from Serbia and Montenegro on June 3, 2006. Where available, data for each country are shown separately. However, for Serbia, some indicators, such as those series for which data appear only for Serbia and not Montenegro--e.g., aid, environment, external debt, balance of payments, various social indicators excluding population--continue to include data for Montenegro through 2005. Moreover, data from 1999 onward for Serbia for most indicators exclude data for Kosovo, 1999 being the year when Kosovo became a territory under international administration pursuant to UN Security Council Resolution 1244 (1999); any exceptions are noted. Kosovo became a World Bank member on June 29, 2009; available data are shown separately for Kosovo. The Statistical Office of Serbia has improved the methodology of national accounts data for 2003 onward. Specifically, the classification of sectors has been revised, and GDP is now calculated using chain linked volumes in 2005 prices.",Country uses the 1993 System of National Accounts methodology.,Special trade system,Serbia,Yes,YF,Upper middle income,IBRD,,Europe & Central Asia
SSA,,,,,,,,,,,,,,Sub-Saharan Africa (developing only),,,,Sub-Saharan Africa (developing only),,,Sub-Saharan Africa regional aggregate (does not include high-income economies).,,,Sub-Saharan Africa,,ZF,,,,
SSD,SS,,,South Sudanese Pound,,,,,,,2008,,,Republic of South Sudan,,,,South Sudan,,,"South Sudan declared its independence on July 9, 2011. Data are shown separately for South Sudan where available. However, data reported for Sudan include South Sudan unless otherwise noted. Though limited data are available in the WDI & GDF database for South Sudan, additional data are available from South Sudan's National Bureau of Statistics (http://ssnbs.org/).",,,South Sudan,,SS,,,,Sub-Saharan Africa
SSF,,,,,,,,,,,,,,Sub-Saharan Africa (all income levels),,,,Sub-Saharan Africa (all income levels),,,Sub-Saharan Africa regional aggregate (including high-income economies).,,,Sub-Saharan Africa (all income levels),,ZG,,,,
SST,,,,,,,,,,,,,,Small states,,,,Small states,,,"Small states aggregate. Includes 41 members of the Small States Forum. (Does not include the high-income countries Bahrain, Brunei Darussalam, Cyprus, Estonia, Iceland, Malta, Qatar, and San Marino.)",,,Small states,,S1,,,,
STP,ST,,"IMF Balance of Payments Manual, 4th edition (1977).",São Tomé and Principe dobra,Actual,,General Data Dissemination System (GDDS),2011,"Demographic and Health Survey (DHS), 2008/09",2005,2001,2010,1993,Democratic Republic of São Tomé and Principe,2001,,2005,São Tomé and Principe,Value added at producer prices (VAP),"Priority survey (PS), 2000/01",,,Special trade system,São Tomé and Principe,,ST,Lower middle income,IDA,HIPC,Sub-Saharan Africa
